Deelnemer;Totaaltijd;1500 m lopen;Monkey bars;Golfen;1000 m roeien;Schieten;Bench press;3000 m fietsen;Klassement
Mathieu van der Poel;08:50.02;04:48.67;88;106;03:11.11;3;65;03:55.24;M
Greg Van Avermaet;09:20.30;04:43.59;85;89;03:21.52;2;60;03:59.19;M
Oliver Naesen;09:48.40;04:40.89;47;90;03:14.74;3;70;04:14.58;M
Tim Brys;09:48.43;04:56.19;56;68;02:39.81;0;65;04:02.93;M
Dennis Praet;09:51.81;04:29.18;55;153;03:12.13;1;70;04:41.49;M
Dirk Van Tichelt;10:03.01;05:46.44;105;116;03:27.75;5;115;04:59.13;M
Victor Campenaerts;10:05.43;05:11.75;75;48;03:23.47;4;60;04:10.85;M
Thibau Nys;10:11.21;04:29.89;70;109;03:44.90;3;55;04:38.42;M
Toon Aerts;10:13.44;04:59.44;53;89;03:08.97;1;55;04:04.06;M
Matthias Casse;10:13.69;05:46.48;105;117;03:06.97;1;140;05:04.34;M
Simon Mignolet;10:16.11;04:46.50;54;135;03:16.33;2;85;04:54.58;M
Wout van Aert;10:26.15;05:17.00;40;48;02:49.74;0;60;03:45.41;M
Jonathan Borlée;10:30.32;04:38.72;80;144;03:40.24;2;90;05:23.89;M
Bart Swings;10:32.03;05:07.75;43;90;03:11.75;0;60;03:55.75;M
Dylan Borlée;10:45.01;04:33.09;66;67;03:52.00;3;90;05:02.92;M
Thomas Briels;10:54.48;04:49.76;50;105;03:21.49;0;100;04:57.95;M
Thomas De Gendt;10:58.88;05:55.81;69;69;03:30.52;3;50;03:59.75;M
Yves Lampaert;11:01.49;05:29.49;28;117;03:17.49;1;75;04:08.08;M
Remco Evenepoel;11:08.04;05:11.30;28;79;03:24.81;2;50;04:10.92;M
Kevin Borlée;11:17.65;04:56.24;75;104;04:04.24;1;100;05:04.24;M
Arthur Van Doren;11:20.92;04:42.00;61;156;03:52.22;0;80;05:19.70;M
Hanne Claes;12:06.19;05:08.19;78;110;04:13.11;1;55;05:15.89;V
Jolien D'Hoore;12:28.82;05:45.49;9;55;03:39.75;4;40;04:30.70;V
Pieter Timmers;12:34.68;06:46.62;30;100;03:13.49;2;90;04:42.63;M
Hans Vanaken;12:37.45;04:55.56;37;57;03:20.63;1;50;05:52.62;M
Fanny Lecluyse;13:42.81;05:54.17;43;58;03:48.25;2;55;05:49.39;V
Rik Verheye;13:53.48;05:23.70;7;39;03:48.66;2;45;05:43.12;BV
Kirsten Flipkens;13:57.77;06:41.49;47;118;03:59.25;2;45;05:24.24;V
Élodie Ouédraogo;14:12.15;05:46.24;25;56;03:52.24;0;50;05:41.13;BV
Elise Mertens;14:18.46;05:57.53;23;119;04:34.13;3;55;05:45.81;V
Kim Mestdagh;14:27.49;06:18.58;19;65;03:48.34;1;45;05:32.57;V
Jaouad Achab;15:07.17;06:16.24;14;56;04:01.25;1;70;06:06.50;M
Otto-Jan Ham;15:14.72;07:38.98;29;143;03:46.17;1;60;05:45.57;BV
Jani Kazaltzis;15:16.06;07:15.61;25;92;03:48.53;0;70;05:41.49;BV
Tessa Wullaert;15:17.57;06:12.24;24;56;04:16.86;3;45;06:22.55;V
Saartje Vandendriessche;15:19.75;06:34.71;47;49;04:26.57;1;35;05:48.37;BV
Jeroom Snelders;15:55.05;07:41.95;7;76;03:51.75;1;40;05:24.02;BV
Nina Sterckx;16:43.55;07:58.16;42;69;04:23.93;2;45;06:09.45;V
Erik Van Looy;17:05.07;07:52.01;3;55;04:32.65;1;40;05:31.41;BV
Philippe Geubels;17:10.33;08:31.75;13;62;03:49.49;1;75;06:09.49;BV
